doubleype,Function,Digit,doubleime(ms)
randomdigit,doubleconv,1,147.100000
randomdigit,doubleconv,2,162.900000
randomdigit,doubleconv,3,166.800000
randomdigit,doubleconv,4,178.800000
randomdigit,doubleconv,5,184.600000
randomdigit,doubleconv,6,193.900000
randomdigit,doubleconv,7,194.100000
randomdigit,doubleconv,8,202.600000
randomdigit,doubleconv,9,205.400000
randomdigit,doubleconv,10,218.900000
randomdigit,doubleconv,11,209.700000
randomdigit,doubleconv,12,225.500000
randomdigit,doubleconv,13,222.100000
randomdigit,doubleconv,14,239.500000
randomdigit,doubleconv,15,236.700000
randomdigit,doubleconv,16,244.400000
randomdigit,doubleconv,17,258.000000
randomdigit,fpconv,1,158.200000
randomdigit,fpconv,2,176.500000
randomdigit,fpconv,3,192.000000
randomdigit,fpconv,4,209.300000
randomdigit,fpconv,5,220.400000
randomdigit,fpconv,6,228.600000
randomdigit,fpconv,7,238.100000
randomdigit,fpconv,8,245.300000
randomdigit,fpconv,9,243.600000
randomdigit,fpconv,10,247.800000
randomdigit,fpconv,11,252.400000
randomdigit,fpconv,12,255.800000
randomdigit,fpconv,13,258.100000
randomdigit,fpconv,14,263.000000
randomdigit,fpconv,15,264.700000
randomdigit,fpconv,16,282.400000
randomdigit,fpconv,17,276.600000
randomdigit,grisu2,1,195.200000
randomdigit,grisu2,2,209.900000
randomdigit,grisu2,3,215.900000
randomdigit,grisu2,4,218.700000
randomdigit,grisu2,5,222.400000
randomdigit,grisu2,6,230.500000
randomdigit,grisu2,7,251.400000
randomdigit,grisu2,8,252.300000
randomdigit,grisu2,9,246.300000
randomdigit,grisu2,10,253.200000
randomdigit,grisu2,11,256.600000
randomdigit,grisu2,12,258.600000
randomdigit,grisu2,13,265.300000
randomdigit,grisu2,14,270.500000
randomdigit,grisu2,15,275.500000
randomdigit,grisu2,16,278.100000
randomdigit,grisu2,17,289.400000
randomdigit,milo,1,64.700000
randomdigit,milo,2,74.000000
randomdigit,milo,3,82.700000
randomdigit,milo,4,87.200000
randomdigit,milo,5,92.900000
randomdigit,milo,6,100.600000
randomdigit,milo,7,106.400000
randomdigit,milo,8,112.900000
randomdigit,milo,9,116.500000
randomdigit,milo,10,122.000000
randomdigit,milo,11,124.900000
randomdigit,milo,12,130.400000
randomdigit,milo,13,133.200000
randomdigit,milo,14,138.200000
randomdigit,milo,15,141.200000
randomdigit,milo,16,147.500000
randomdigit,milo,17,151.600000
randomdigit,null,1,2.400000
randomdigit,null,2,2.500000
randomdigit,null,3,2.500000
randomdigit,null,4,2.500000
randomdigit,null,5,2.500000
randomdigit,null,6,2.500000
randomdigit,null,7,2.400000
randomdigit,null,8,2.400000
randomdigit,null,9,2.500000
randomdigit,null,10,2.500000
randomdigit,null,11,2.400000
randomdigit,null,12,2.500000
randomdigit,null,13,2.400000
randomdigit,null,14,2.500000
randomdigit,null,15,2.400000
randomdigit,null,16,2.500000
randomdigit,null,17,2.500000
randomdigit,ostringstream,1,27762.600000
randomdigit,ostringstream,2,27869.100000
randomdigit,ostringstream,3,28370.700000
randomdigit,ostringstream,4,28167.200000
randomdigit,ostringstream,5,28682.300000
randomdigit,ostringstream,6,28907.800000
randomdigit,ostringstream,7,28837.400000
randomdigit,ostringstream,8,29257.000000
randomdigit,ostringstream,9,29114.900000
randomdigit,ostringstream,10,29542.300000
randomdigit,ostringstream,11,29575.900000
randomdigit,ostringstream,12,29871.900000
randomdigit,ostringstream,13,30168.700000
randomdigit,ostringstream,14,30028.000000
randomdigit,ostringstream,15,30322.700000
randomdigit,ostringstream,16,30295.900000
randomdigit,ostringstream,17,30310.000000
randomdigit,ostrstream,1,27134.400000
randomdigit,ostrstream,2,27252.700000
randomdigit,ostrstream,3,27842.000000
randomdigit,ostrstream,4,27587.600000
randomdigit,ostrstream,5,28130.800000
randomdigit,ostrstream,6,28373.200000
randomdigit,ostrstream,7,28340.500000
randomdigit,ostrstream,8,28672.400000
randomdigit,ostrstream,9,28608.100000
randomdigit,ostrstream,10,29019.600000
randomdigit,ostrstream,11,29031.700000
randomdigit,ostrstream,12,29316.600000
randomdigit,ostrstream,13,29577.100000
randomdigit,ostrstream,14,29442.700000
randomdigit,ostrstream,15,29683.300000
randomdigit,ostrstream,16,29698.500000
randomdigit,ostrstream,17,29686.500000
randomdigit,sprintf,1,26098.700000
randomdigit,sprintf,2,26255.500000
randomdigit,sprintf,3,26778.900000
randomdigit,sprintf,4,26585.600000
randomdigit,sprintf,5,27087.700000
randomdigit,sprintf,6,27329.800000
randomdigit,sprintf,7,27276.300000
randomdigit,sprintf,8,27654.700000
randomdigit,sprintf,9,27609.800000
randomdigit,sprintf,10,28000.700000
randomdigit,sprintf,11,28049.400000
randomdigit,sprintf,12,28279.400000
randomdigit,sprintf,13,29267.000000
randomdigit,sprintf,14,28797.600000
randomdigit,sprintf,15,29197.700000
randomdigit,sprintf,16,29212.100000
randomdigit,sprintf,17,29144.300000
