doubleype,Function,Digit,doubleime(ms)
randomdigit,doubleconv,1,150.037259
randomdigit,doubleconv,2,165.439057
randomdigit,doubleconv,3,170.477207
randomdigit,doubleconv,4,180.158884
randomdigit,doubleconv,5,185.319635
randomdigit,doubleconv,6,194.928518
randomdigit,doubleconv,7,192.384539
randomdigit,doubleconv,8,202.123686
randomdigit,doubleconv,9,200.759745
randomdigit,doubleconv,10,209.280541
randomdigit,doubleconv,11,205.725101
randomdigit,doubleconv,12,220.851045
randomdigit,doubleconv,13,215.713281
randomdigit,doubleconv,14,231.283656
randomdigit,doubleconv,15,224.509930
randomdigit,doubleconv,16,232.858317
randomdigit,doubleconv,17,246.106928
randomdigit,fpconv,1,194.510907
randomdigit,fpconv,2,216.548503
randomdigit,fpconv,3,232.636102
randomdigit,fpconv,4,246.907668
randomdigit,fpconv,5,257.179364
randomdigit,fpconv,6,266.205890
randomdigit,fpconv,7,272.964290
randomdigit,fpconv,8,281.071306
randomdigit,fpconv,9,283.488852
randomdigit,fpconv,10,288.707073
randomdigit,fpconv,11,292.277838
randomdigit,fpconv,12,294.883117
randomdigit,fpconv,13,297.480733
randomdigit,fpconv,14,300.300565
randomdigit,fpconv,15,302.859869
randomdigit,fpconv,16,308.982275
randomdigit,fpconv,17,317.966656
randomdigit,gay,1,612.650546
randomdigit,gay,2,740.995025
randomdigit,gay,3,881.258656
randomdigit,gay,4,1005.266112
randomdigit,gay,5,1125.633840
randomdigit,gay,6,1248.258198
randomdigit,gay,7,1368.300266
randomdigit,gay,8,1495.185023
randomdigit,gay,9,1616.928184
randomdigit,gay,10,1739.502737
randomdigit,gay,11,1915.148357
randomdigit,gay,12,2076.472605
randomdigit,gay,13,2196.399734
randomdigit,gay,14,2312.966819
randomdigit,gay,15,2432.445687
randomdigit,gay,16,2576.004230
randomdigit,gay,17,2643.852595
randomdigit,grisu2,1,177.055537
randomdigit,grisu2,2,188.702667
randomdigit,grisu2,3,198.330706
randomdigit,grisu2,4,200.955141
randomdigit,grisu2,5,201.947446
randomdigit,grisu2,6,207.223136
randomdigit,grisu2,7,210.705782
randomdigit,grisu2,8,217.678735
randomdigit,grisu2,9,220.004329
randomdigit,grisu2,10,226.919813
randomdigit,grisu2,11,227.804842
randomdigit,grisu2,12,234.996178
randomdigit,grisu2,13,236.038290
randomdigit,grisu2,14,241.130078
randomdigit,grisu2,15,245.294693
randomdigit,grisu2,16,248.627918
randomdigit,grisu2,17,260.845911
randomdigit,milo,1,92.905020
randomdigit,milo,2,106.590398
randomdigit,milo,3,117.214573
randomdigit,milo,4,122.923200
randomdigit,milo,5,125.306264
randomdigit,milo,6,131.543609
randomdigit,milo,7,134.639293
randomdigit,milo,8,139.899658
randomdigit,milo,9,143.160089
randomdigit,milo,10,144.960796
randomdigit,milo,11,147.033526
randomdigit,milo,12,150.937613
randomdigit,milo,13,152.949042
randomdigit,milo,14,154.864688
randomdigit,milo,15,155.807186
randomdigit,milo,16,160.328112
randomdigit,milo,17,165.297299
randomdigit,null,1,2.145524
randomdigit,null,2,2.145524
randomdigit,null,3,2.145524
randomdigit,null,4,2.145524
randomdigit,null,5,2.145524
randomdigit,null,6,2.145524
randomdigit,null,7,2.145524
randomdigit,null,8,2.145524
randomdigit,null,9,2.145524
randomdigit,null,10,2.145524
randomdigit,null,11,2.145524
randomdigit,null,12,2.145524
randomdigit,null,13,2.145524
randomdigit,null,14,2.145524
randomdigit,null,15,2.145524
randomdigit,null,16,2.145524
randomdigit,null,17,2.145524
randomdigit,ostringstream,1,2725.930382
randomdigit,ostringstream,2,2733.416728
randomdigit,ostringstream,3,2728.409228
randomdigit,ostringstream,4,2738.684755
randomdigit,ostringstream,5,2756.170776
randomdigit,ostringstream,6,2751.672838
randomdigit,ostringstream,7,2759.473350
randomdigit,ostringstream,8,2757.599848
randomdigit,ostringstream,9,2774.492018
randomdigit,ostringstream,10,2793.728940
randomdigit,ostringstream,11,2795.288276
randomdigit,ostringstream,12,2806.920081
randomdigit,ostringstream,13,2811.483151
randomdigit,ostringstream,14,2819.456071
randomdigit,ostringstream,15,2833.440290
randomdigit,ostringstream,16,2834.524546
randomdigit,ostringstream,17,2818.023168
randomdigit,ostrstream,1,2578.214886
randomdigit,ostrstream,2,2574.460219
randomdigit,ostrstream,3,2594.202871
randomdigit,ostrstream,4,2595.118550
randomdigit,ostrstream,5,2610.696587
randomdigit,ostrstream,6,2609.987797
randomdigit,ostrstream,7,2619.228876
randomdigit,ostrstream,8,2612.646715
randomdigit,ostrstream,9,2626.473850
randomdigit,ostrstream,10,2642.496317
randomdigit,ostrstream,11,2641.829672
randomdigit,ostrstream,12,2651.300628
randomdigit,ostrstream,13,2654.948019
randomdigit,ostrstream,14,2652.856133
randomdigit,ostrstream,15,2683.096528
randomdigit,ostrstream,16,2670.326828
randomdigit,ostrstream,17,2664.323193
randomdigit,sprintf,1,1224.186186
randomdigit,sprintf,2,1225.856629
randomdigit,sprintf,3,1240.132026
randomdigit,sprintf,4,1236.618731
randomdigit,sprintf,5,1252.874906
randomdigit,sprintf,6,1250.668082
randomdigit,sprintf,7,1253.177579
randomdigit,sprintf,8,1251.855782
randomdigit,sprintf,9,1255.909290
randomdigit,sprintf,10,1254.733083
randomdigit,sprintf,11,1253.690972
randomdigit,sprintf,12,1256.392033
randomdigit,sprintf,13,1261.801819
randomdigit,sprintf,14,1258.277029
randomdigit,sprintf,15,1267.311218
randomdigit,sprintf,16,1313.436152
randomdigit,sprintf,17,1301.463362
